DA4l,DC1,DL4,DL5,DM3,DM4,DP1m,VA2,VA4,VA6,VA7l,VC1,VC2,VL2a,VL2p,VM4,D,DA1,DA2,DA4m,DC2,DL2d,DL3,DM2,DM5,DM6,DP1l,VA1d,VA1v,VA3,VA5,VA7m,VM1,VM2,VM3,VM7d,VM7v,VM5d,DM1,V,Glomerulus 1,Glomerulus 2,Glomerulus 3,DC3,DL1,VL1,DA3,DC4,DL2v,VC4,VM5v,VM6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0578032574234815,0.023169743003888,0.0323346958400187,0.008539734388436,0.0301542818220232,0.0016757518075453,0.0051986641420292,0.0111208029135341,0.0055498082101083,0.0156952329243525,0.0194942497666937,0.0061249074587907
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0560439121073372,0.026393004504434,0.042613322727957,0.0073515825996603,0.0089501523681212,0.0041506356883901,0.0037940711685024,0.0205902913314001,0.0166776664311112,0.0033505707898064,0.0182066637427973,0.0042282103098374
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0416134582196039,0.0310402450774483,0.0290650780514705,0.001458959634824,0.0432653009437347,0.0021277048597048,0.0020259145264907,0.0171006903260775,0.0088433015597791,0.0034377543474188,0.0033080412732564,0.0032275958929109
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.061969214340559,0.0163656354970078,0.0322660436871322,0.0010672603053633,0.0141129727575113,0.0019104761062029,0.0,0.0274277091973753,0.01288763130886,0.0,0.0252692890768431,0.0060300310516249
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0596473406524155,0.0191750835568768,0.0397309996615824,0.0028084418756501,0.0024761603264917,0.0011247309949678,0.0120947087345859,0.019191289111001,0.011028231395491,0.002746618101333,0.01751076100028,0.0058283773892958
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0598118682093962,0.0189443764190329,0.036588098082503,0.0016448575961942,0.0049962188585962,0.0,0.0025005482168723,0.0051141348100543,0.0070431119347761,0.0122141892101287,0.0101092214000065,0.0028636740364017
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0607099033223371,0.0255602963152575,0.0426728531377619,0.0011945635538903,0.015597879332922,0.0,0.0022762845110255,0.01392670099267,0.0023640098854243,0.0,0.0044163336317026,0.0051003209550836
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0529246820796051,0.0152480754151583,0.0391527834882783,0.0062179483987079,0.0112567315283235,0.0,0.0021161994702325,0.0035674845398985,0.003234153118386,0.0054990340945247,0.0041367400915529,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0428746703332792,0.0228317795566724,0.0345133315353316,0.0,0.0181633128875064,0.0006613165474962,0.0127535827830928,0.0246650417234347,,0.0298101131943734,0.0150256470740583,0.0004658812571591
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0443132312690292,0.0130011075838854,0.0357802158841442,0.0,0.0127841631885768,0.0,0.0,0.0164948574540915,,,,0.0
