DA4l,DC1,DL4,DL5,DM3,DM4,DP1m,VA2,VA4,VA6,VA7l,VC1,VC2,VL2a,VL2p,VM4,D,DA1,DA2,DA4m,DC2,DC3,DL1,DL2d,DL3,DM2,DM5,DM6,DP1l,VA1d,VA1v,VA3,VA5,VA7m,VL1,VM1,VM2,VM3,VM7d,VM7v,VM5d,DM1,V,DA3,DC4,DL2v,VC4,VC5,VM5v,Glomerulus 1,Glomerulus 2,Glomerulus 3
53597.15365361569,170049.38590466618,47354.94370964472,127052.38176725707,90578.57449722884,168334.39104866894,274802.9894219561,155113.95933541638,79354.77909484458,97082.47213214482,,95691.11618726878,69761.52222638296,87498.2980844704,149951.842254459,63568.30632474607,108970.38823590914,112204.11249650257,63607.70004376602,64321.15500354869,,160154.63259503443,105935.41296876752,,57782.47771316499,133856.38984199264,61382.22174659307,96835.97501542357,319035.4500584207,144210.6193462271,150415.6425522053,205525.2684966309,,,121589.28322343888,97274.31679988836,59228.05065910453,92322.81617443784,143260.79674143068,,52006.14109080352,129478.2647882946,188782.7091589803,53385.302941612725,145510.2377965863,,,113810.16016007317,,,,
68568.9209100834,151935.93226779427,27536.326658920287,98311.24733043891,61601.98675321295,167151.0629959275,343421.525122144,88938.99357398669,127361.8177098412,126412.8930570702,,90717.24893177036,65782.26862444138,140976.94665150723,206155.2477922449,84039.79671113906,200273.47622998848,152257.1847605241,65128.8286089886,77034.94284026446,,169318.41903744088,91104.57690485808,,50001.91824067876,164684.1409877693,45817.41410661888,87984.39213030651,238615.9556170754,117424.18816862904,135512.1431521518,153291.8219895208,,,87777.73415912596,72214.96370382095,67463.24660489577,141849.18981368642,113301.51120648228,,99255.64823154184,168517.0060489183,182360.24758569652,17410.052216071417,,,,101973.64646844532,,,,
81016.0483606407,99662.33623241256,36612.00574762909,114242.60758021174,52094.43560344211,164094.86263048422,401257.2921602496,140616.18929972043,97603.25767551168,121808.726354115,,73422.71286771778,97476.56837195349,65883.88320703604,141946.79095162704,72439.4862139907,153024.45010953734,64711.56567885207,95838.87035264962,36798.0791417182,,210814.78022365505,101982.1250454586,,51429.688996772966,118590.32262077754,84676.84172003431,62035.75561531099,,133643.70512819092,153881.35665547277,169511.01019332002,,,130610.34306021551,,79995.48160663852,118078.09389514982,111955.0639479544,,101004.3350457206,192184.8430755817,184462.39983182529,64654.51817342482,,,,15361.58479567192,,,,
53505.59074455057,119812.56990000524,47139.75344484935,104667.13503890164,90057.83156636942,169999.08101106493,291035.50586344965,94077.68134864552,113432.37425087088,114339.67771472142,,,88383.32734026323,57452.55589893855,,68696.35447168208,194812.30946480465,91007.8221331856,65823.83732623147,62294.39489182508,,,91103.80015096042,,50621.452274851625,150137.33613821393,82511.90756397352,101464.90887321104,,121777.73761157744,126488.27303484852,,,,113333.09702104414,,82140.65691828498,100902.10773636385,89649.60573301863,,69070.01887714324,150376.70012361812,243889.2538335548,,,,,,,,,
90360.29752027772,131286.17054690063,48443.82689934171,100059.87012836356,73248.63488607487,111483.90670122854,350933.90919004125,118646.24032812788,,118523.2962308736,,,,91914.4752096674,,72620.22824556268,169651.25099423568,188875.4050954324,66967.83607521956,84537.14389244647,,,73420.57358839731,,40813.07095066582,176780.3203382111,89402.9085417942,80610.57917546993,,128036.40354966422,84341.12929721965,,,,137415.8414768338,,101509.33147075518,133635.70510670543,95552.58270107454,,98842.45213492878,181940.8281830026,205219.49960775275,,,,,,,,,
68493.15608533031,117948.08969345932,46705.274186103015,160242.77864527004,60057.04071807415,158705.6458104759,367149.4694432741,135477.8387427335,,108069.28822541928,,,,17108.305943346368,,71769.77452129903,,126381.32056333884,,38434.19113724223,,,94491.8097991827,,90792.48584681533,173956.77973270405,78013.19323803877,112239.97910766413,,17960.28046551196,0.0,,,,95652.75321575612,,86419.80329269957,124535.61571667234,99260.44568395957,,95427.930446806,168074.06802600072,172688.8561516924,,,,,,,,,
24048.231502474773,98241.67383842645,27756.788937312293,98578.45017147908,73746.29092077615,140110.84517765045,,111189.49012330487,,117897.40635613516,,,,68031.54677177843,,59395.44403249512,,97759.59853668547,,89978.30875923985,,,103600.77170112214,,72418.20796288174,126449.64069377532,55408.77398927561,117545.19626038724,,83545.97628125027,0.0,,,,149295.06194175733,,79422.74790251098,126452.1770390884,,,74374.09192581076,167604.42242684268,243963.9591650503,,,,,,,,,
,146471.09337707027,34366.435119886766,133696.80485022778,65702.40862270138,151326.83918035647,,95137.68263345302,,176977.93037069435,,,,46942.83069664558,,51906.88788353778,,87377.85951496559,,46166.83498751084,,,87102.85551397954,,62299.62439294208,111560.2968703416,71508.50652822576,75971.23767179184,,127462.5589607734,30217.119119208142,,,,124189.24559548966,,69188.4872993567,131725.88710666727,,,91229.86582614647,158619.1345242731,192540.2150316448,,,,,,,,,
,80835.60825315723,47528.67214722421,,69068.70802148987,143224.61685018876,,146674.92452006927,,149770.9324424365,,,,18513.21527076154,,71144.89442457579,,135808.02004451194,,55341.00842330263,,,100561.70397283408,,52294.50244943828,148177.5781556376,83233.59279974776,83867.02575980863,,30217.81554328736,0.0,,,,128985.36036234516,,84761.97197770033,,,,70739.80678223708,183440.011715638,182513.05328175545,,,,,,,,,
,77747.30310738948,29502.50487670545,,77601.57232588858,77627.89852174514,,108160.73245569364,,97658.05779804128,,,,88722.74284799283,,60173.917723637904,,125858.76078396708,,,,,98770.20500990552,,30104.779946907016,132060.80845872412,71850.71705187872,112317.6048783488,,133070.95530002617,0.0,,,,105661.08570039924,,,,,,101964.29181868173,136496.5035954895,195486.44582137297,,,,,,,,,
,,56278.91013381132,,79600.61804041179,,,117211.00593906062,,132045.91405452118,,,,103920.65402687364,,64157.560111906336,,110990.62451206191,,,,,98246.2569058644,,45458.72891313221,157941.65140159646,72375.84926916126,100280.06247946572,,139868.35533774807,77420.08167245763,,,,83149.63500395924,,,,,,75037.94742119528,147542.62583790702,214007.59701902585,,,,,,,,,
,,41362.97277847142,,72948.678315656,,,113820.45799267638,,94634.64675167852,,,,8867.499445012492,,59213.07010249726,,89802.72247303513,,,,,78453.8478419784,,75335.26283096618,148059.8716169025,,115886.99261301228,,108282.0365028635,138847.42999974696,,,,120834.38144769944,,,,,,67324.46009859147,152248.7475053324,204612.2805915009,,,,,,,,,
,,27653.532520382258,,66002.9585071993,,,122431.21600262346,,35450.01811052362,,,,56649.08223844654,,70083.00745257307,,105572.62297099952,,,,,68719.50454122062,,58601.3762335772,153592.88739914697,,111396.04466533576,,111033.651216309,122692.3516348103,,,,105521.2196288133,,,,,,62803.34270426624,129506.67747102422,176150.67585850734,,,,,,,,,
,,42701.28468556912,,66563.22341261816,,,93539.95163507885,,140736.18189690195,,,,58331.88948745935,,77299.3931999329,,91937.90721930748,,,,,61262.0874256953,,75987.95006705495,155402.23969570658,,118450.74807451566,,84973.99727859185,143847.20998036733,,,,129429.456240343,,,,,,63504.41274404693,146484.13346727952,181107.93114000832,,,,,,,,,
,,44336.20119439263,,40980.92234726501,,,97479.28873081798,,146571.62652903266,,,,71519.90488050989,,86746.98701248359,,63393.080232183645,,,,,83817.84587084333,,63851.81134407874,136946.12706999856,,65683.33066662995,,128991.53787012168,120162.8949720666,,,,153962.48182482616,,,,,,95866.36307910166,195869.00737562068,194841.9521218248,,,,,,,,,
,,42925.71930705766,,46622.68723176373,,,139076.33085311693,,117811.00277817248,,,,87039.9597228653,,69644.50557948445,,112566.74347246016,,,,,104853.52439395004,,36410.85714875171,116594.846659641,,88161.70991048255,,109768.8581995722,98879.69647366383,,,,124508.56488400858,,,,,,62827.128692702325,109656.41850581583,209348.66837629225,,,,,,,,,
,,,,67936.29321588944,,,149518.12541732026,,117360.20372481032,,,,13561.94270112874,,79902.71601520944,,121552.14956744356,,,,,75196.06127961584,,102684.64817504091,107823.92106409774,,74385.62879712821,,60204.87656070804,152125.1170203459,,,,96643.28693801448,,,,,,45951.3033170705,203735.619677574,190475.47828044475,,,,,,,,,
,,,,62330.2994627741,,,123767.08903813377,,173432.3270546223,,,,67979.45165059724,,85976.9703546576,,96075.19875923183,,,,,98624.15310877106,,40402.00079935279,133857.2665812918,,,,736.3388106077219,152252.0768492289,,,,120017.84901304662,,,,,,79220.71725593612,164137.75096820126,177613.7945091587,,,,,,,,,
,,,,117430.38875079504,,,120126.71146471328,,120520.46789296909,,,,74554.16531826528,,75056.21597900843,,164247.5628700492,,,,,96928.53561758112,,99068.31184438868,130672.06624257311,,,,113990.58076675508,192811.57927725287,,,,99789.99851265142,,,,,,70376.419560824,95331.33578466949,205052.8966683821,,,,,,,,,
,,,,,,,132049.69940456102,,124112.4526464463,,,,35093.77334747056,,77382.94481682667,,68983.32917153183,,,,,89417.04260274289,,71190.5898840427,,,,,71491.15828252917,80404.93781493153,,,,94286.20096599589,,,,,,52211.266094144434,139166.61161611998,193862.9212290691,,,,,,,,,
,,,,,,,100100.11859272068,,115079.38669581816,,,,94153.04250825549,,87631.44301107712,,78711.79080330818,,,,,60599.35259030559,,103915.7587770738,,,,,32790.36186504016,74010.0055951908,,,,55510.44563830247,,,,,,91265.9190831672,195722.3022262639,224833.9507526061,,,,,,,,,
,,,,,,,140872.65935766068,,73878.64181184453,,,,74077.85745618724,,85773.83257120088,,144237.1711451158,,,,,115125.58170759524,,,,,,,127185.97492777467,142150.25466573797,,,,84424.3550281803,,,,,,67855.11891095444,159237.7320599031,204136.7996771748,,,,,,,,,
,,,,,,,112655.97912325073,,,,,,137958.7273505858,,71416.20677630857,,101847.94308609753,,,,,127119.4270055128,,,,,,,191304.12712004583,95975.43757028406,,,,124981.40489464992,,,,,,49698.651961872965,190858.4701006996,176292.44018230075,,,,,,,,,
,,,,,,,140088.72109867516,,,,,,,,47139.39863354627,,99560.66202547267,,,,,83282.33262801392,,,,,,,128430.17631611504,222323.9751770266,,,,138446.43499371238,,,,,,83001.89317966299,128017.48299100732,230895.63812520268,,,,,,,,,
,,,,,,,,,,,,,,,73620.51638910366,,116068.46448558052,,,,,,,,,,,,133739.4899671357,75798.44562163386,,,,78873.33643719032,,,,,,89746.6833087938,95959.0990040192,,,,,,,,,,
,,,,,,,,,,,,,,,,,101143.33243407772,,,,,,,,,,,,32053.930856107323,47231.13632518535,,,,202147.54622457435,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,110452.6291660387,,,,,,,,,,,,127491.5739123651,148529.62952643295,,,,,,,,,,,,,,,,,,,,,
