Glomerulus 1,Glomerulus 2,Glomerulus 3
0.05780325742348159,0.023169743003888004,0.032334695840018704
0.05604391210733729,0.026393004504434072,0.04261332272795702
0.041613458219603924,0.03104024507744837,0.02906507805147054
0.06196921434055901,0.01636563549700785,0.03226604368713221
0.05964734065241561,0.019175083556876884,0.039730999661582465
0.059811868209396234,0.01894437641903296,0.03658809808250302
0.060709903322337194,0.02556029631525753,0.042672853137761944
0.05292468207960517,0.015248075415158385,0.039152783488278387
0.04287467033327927,0.022831779556672465,0.03451333153533163
0.04431323126902925,0.013001107583885462,0.03578021588414425
