,DA4l,DC1,DL4,DL5,DM3,DM4,DP1m,VA2,VA4,VA6,VA7l,VC1,VC2,VL2a,VL2p,VM4,D,DA1,DA2,DA4m,DC2,DL2d,DL3,DM2,DM5,DM6,DP1l,VA1d,VA1v,VA3,VA5,VA7m,VM1,VM2,VM3,VM7d,VM7v,VM5d,DM1,V,Glomerulus 1,Glomerulus 2,Glomerulus 3,DC3,DL1,VL1,DA3,DC4,DL2v,VC4,VM5v,VC3,VC5,VM6
0,0.0,0.1464788732394366,0.0909090909090909,0.1173285198555956,0.1015625,0.1316526610644257,0.0982658959537572,0.15,0.0894568690095846,0.1128526645768025,0.1625441696113074,0.0850661625708884,0.1546762589928057,0.0595238095238095,0.1535269709543568,0.0857142857142857,0.1657142857142857,0.17,0.0153846153846153,0.0790697674418604,0.1309255079006772,0.106090373280943,0.2181818181818181,0.1776061776061776,0.1649484536082474,0.1428571428571428,0.1567567567567567,0.1415094339622641,0.1541666666666666,0.151093439363817,0.1942446043165467,0.1223021582733813,0.2792022792022792,0.1469194312796208,0.079136690647482,0.1483333333333333,0.1783132530120482,0.1589403973509933,0.1215351812366737,0.2034883720930232,0.08743169398907104,0.20612244897959184,0.3014256619144603,0.22774869109947643,0.17293233082706766,0.058823529411764705,0.0,0.15710382513661203,0.2238648363252376,0.3215258855585831,0.12473118279569892,0.19083969465648856,0.22920892494929007,0.07711651299245599
1,0.044776119402985,0.1696428571428571,0.0924369747899159,0.116822429906542,0.0902255639097744,0.1889763779527559,0.1054502369668246,0.0526315789473684,0.1021897810218978,0.0719257540603248,0.1118881118881118,0.1284046692607003,0.1551724137931034,0.1256830601092896,0.1490787269681742,0.0941176470588235,0.1428571428571428,0.1295546558704453,0.0434782608695652,0.086092715231788,0.1411960132890365,0.1985815602836879,0.1,0.233009708737864,0.0930232558139534,0.2040816326530612,0.1062068965517241,0.123076923076923,0.0651162790697674,0.1619537275064267,0.0,0.1331444759206798,0.2752043596730245,0.200956937799043,0.0993788819875776,0.1393258426966292,0.1511627906976744,0.1526315789473684,0.0740037950664136,0.1597374179431072,0.09408926417370325,0.22342733188720174,0.3251231527093596,0.20950323974082075,0.15789473684210525,0.03686635944700461,0.03773584905660377,0.10470588235294118,0.1761006289308176,0.22250639386189258,0.13053613053613053,0.25219941348973607,0.21615720524017468,0.07640232108317214
2,0.0733333333333333,0.1542416452442159,0.0961538461538461,0.1101511879049676,0.09375,0.135593220338983,0.0905905905905905,0.1756756756756756,0.1299212598425196,0.0856269113149847,0.091254752851711,0.11003861003861,0.2154471544715447,0.1374570446735395,0.1426751592356687,0.0758293838862559,0.2078431372549019,0.1573770491803278,0.0410958904109589,0.031578947368421,0.1371841155234657,0.222429906542056,0.1810344827586207,0.152027027027027,0.0618556701030927,0.171875,0.1649214659685864,0.1352657004830917,0.0634920634920634,0.1561643835616438,0.0,0.1438356164383561,0.2559808612440191,0.1085714285714285,0.1194029850746268,0.143824027072758,0.1725146198830409,0.3550295857988165,0.1425925925925926,0.2177033492822966,0.08481110254433308,0.2357142857142857,0.315668202764977,0.19661016949152543,0.12017167381974249,0.04017857142857143,0.0234375,0.13411764705882354,0.20329024676850763,0.25333333333333335,0.16592920353982302,0.19321148825065274,0.19923371647509577,0.08578143360752057
3,0.1297709923664122,0.1489361702127659,0.1794871794871795,0.1205673758865248,0.0588235294117647,0.1476683937823834,0.0892857142857142,0.1287671232876712,0.1017441860465116,0.0903954802259887,0.0968992248062015,0.1076923076923077,0.1525423728813559,0.1065573770491803,0.1305970149253731,0.0876288659793814,0.1862745098039215,0.1834862385321101,0.053763440860215,0.0739130434782608,0.0900243309002433,0.1216216216216216,0.2929292929292929,0.2480314960629921,0.0545454545454545,0.1846846846846846,0.1297786720321931,0.0408163265306122,0.2037735849056604,0.1561643835616438,0.2360248447204969,0.1577181208053691,0.2082018927444795,0.1757575757575757,0.1805555555555555,0.15,0.1591591591591591,0.1504424778761062,0.1235521235521235,0.2037470725995316,0.08942457231726283,0.22755741127348644,0.28169014084507044,0.17770034843205576,0.16521739130434782,0.08095238095238096,0.03763440860215054,0.12378303198887343,0.20689655172413793,0.24269005847953215,0.1342925659472422,0.24096385542168675,0.21304347826086956,0.08181818181818182
4,0.0963855421686747,0.1435643564356435,0.0785714285714285,0.1338028169014084,0.1517241379310344,0.1332007952286282,0.0945454545454545,0.1549815498154981,0.1276595744680851,0.060931899641577,0.1512915129151291,0.1366120218579235,0.125,0.1470588235294117,0.0812807881773399,0.0678733031674208,0.1434878587196468,0.1782178217821782,0.0441176470588235,0.0,0.1103117505995203,0.224,0.1388888888888889,0.1023255813953488,0.109090909090909,0.1465201465201465,0.1202809482001756,0.0208333333333333,0.2196721311475409,0.1995412844036697,0.0,0.0673758865248227,0.1699716713881019,0.1428571428571428,0.1298701298701298,0.1355633802816901,0.2016806722689075,0.1899109792284866,0.099009900990099,0.1780104712041884,0.09921156373193167,0.18683651804670912,0.2875,0.1201923076923077,0.15267175572519084,0.06818181818181818,0.026785714285714284,0.13580246913580246,0.13598074608904934,0.24,0.16112531969309463,0.18306636155606407,0.19727891156462585,0.06097560975609756
5,0.0641025641025641,0.1467661691542288,0.1348314606741573,0.1026252983293556,0.1328671328671328,0.1804347826086956,0.0922570016474464,0.0966666666666666,0.0889679715302491,0.1117318435754189,0.1228668941979522,0.119298245614035,0.1343283582089552,0.1338582677165354,0.1535022354694485,0.0803212851405622,0.1415094339622641,0.1856540084388185,0.0298507462686567,0.0571428571428571,0.1396303901437371,0.2117163412127441,0.048780487804878,0.1666666666666666,0.1209677419354838,0.1403508771929824,0.0638655462184873,0.1689189189189189,0.1435185185185185,0.0675675675675675,,0.1220238095238095,0.1796610169491525,0.1655172413793103,0.1156462585034013,0.1388400702987697,0.1174603174603174,0.1900452488687782,0.1619047619047619,0.2142857142857142,0.09577278731836196,0.22857142857142856,0.2717391304347826,0.1880597014925373,0.21008403361344538,0.03,0.051094890510948905,0.1385176184690158,0.10634648370497427,0.12430939226519337,0.13333333333333333,0.23850574712643677,0.18613861386138614,0.07207207207207207
6,0.0852713178294573,0.1540785498489426,0.1022727272727272,0.1157894736842105,0.0933333333333333,0.175054704595186,0.090238365493757,0.1594827586206896,0.1643835616438356,0.0620437956204379,0.1183206106870229,0.1064981949458483,0.160958904109589,0.1578947368421052,0.1203703703703703,0.0837209302325581,0.1806569343065693,0.1841155234657039,0.0606060606060606,0.1119691119691119,0.1423001949317738,,0.1147540983606557,0.145985401459854,0.0636942675159235,0.0934579439252336,0.1326949384404925,0.178743961352657,0.1929824561403508,0.0574162679425837,,0.1645569620253164,0.0483091787439613,0.1180124223602484,0.0717948717948717,0.1339449541284403,0.128686327077748,0.1337792642140468,0.1398305084745762,0.1641414141414141,0.10123042505592841,0.25601750547045954,0.29957805907172996,0.18411552346570398,0.18359375,0.060240963855421686,0.0125,0.12873563218390804,0.12177985948477751,0.14074074074074075,0.1358695652173913,0.19239904988123516,0.20943396226415095,0.0472027972027972
7,0.0689655172413793,0.1469740634005763,0.1265822784810126,0.1020793950850661,0.087248322147651,0.1673469387755102,0.0982691233947515,0.1015873015873015,0.1393442622950819,0.0911854103343465,0.1125827814569536,0.0879864636209813,0.0975609756097561,0.1542857142857142,0.0889679715302491,0.0817610062893081,0.162,0.1565217391304348,0.0727272727272727,0.0431654676258992,0.1186868686868686,,0.123076923076923,0.1633466135458167,0.0703125,0.13671875,0.1189591078066914,0.1181818181818181,0.158590308370044,0.1156069364161849,,0.0,0.193069306930693,0.1596638655462184,0.0823529411764705,0.1450252951096121,0.1666666666666666,0.205761316872428,0.094017094017094,0.156084656084656,0.09316353887399464,0.22008547008547008,0.2846153846153846,0.1566265060240964,0.17857142857142858,0.05405405405405406,0.009345794392523364,0.0974304068522484,0.12153846153846154,0.2,0.09269662921348315,0.1908831908831909,0.21792260692464357,0.027881040892193308
8,0.0880503144654088,0.1257142857142857,0.1111111111111111,0.1544943820224719,0.1241830065359477,0.1348837209302325,0.0992462311557789,0.0803571428571428,0.0964285714285714,0.084070796460177,,0.1168582375478927,0.1286764705882352,0.1034482758620689,0.1497797356828193,0.0296610169491525,0.2248803827751196,0.1330645161290322,0.0076923076923076,0.110576923076923,,,0.1538461538461538,0.11787072243346,0.0862068965517241,0.1422413793103448,0.0838095238095238,0.0786516853932584,0.3142857142857143,0.1088709677419354,,0.0,0.2536764705882353,0.1450777202072538,0.1071428571428571,0.1277777777777777,0.1574585635359116,0.1575091575091575,0.1390134529147982,0.1938202247191011,0.11223203026481715,0.22178988326848248,0.2842323651452282,0.36220472440944884,0.14285714285714285,0.0625,0.020833333333333332,0.14424242424242426,,0.22857142857142856,0.14285714285714285,0.18559556786703602,0.18181818181818182,0.040983606557377046
9,0.0681818181818181,0.1047619047619047,0.1020408163265306,0.0837988826815642,0.1037037037037037,0.1479915433403805,0.1027851458885941,0.1028571428571428,0.1296296296296296,0.0809968847352024,,0.0664335664335664,0.1637630662020905,0.1570996978851963,0.1360544217687075,0.089430894308943,0.2177419354838709,0.1646090534979424,0.0361990950226244,0.095679012345679,,,0.1052631578947368,0.1308016877637131,0.036036036036036,0.1776859504132231,0.1,0.198019801980198,0.0,0.1666666666666666,,0.0,0.2304347826086956,0.081081081081081,0.1189189189189189,0.1670480549199084,0.192200557103064,0.175,0.1390134529147982,0.1930835734870317,0.0792838874680307,0.204,0.30656934306569344,0.125,0.19248826291079812,0.07643312101910828,0.017857142857142856,0.10510510510510511,,,,0.16271186440677965,0.16816816816816818,0.030555555555555555
10,0.1300813008130081,0.1377551020408163,0.146551724137931,0.0982367758186398,0.0862068965517241,0.1702127659574468,0.1046658259773013,0.136986301369863,0.1293103448275862,0.0797101449275362,,0.1135531135531135,0.118705035971223,0.1767676767676767,0.1454918032786885,0.0566037735849056,0.0825396825396825,0.1320754716981132,0.0613496932515337,0.0933852140077821,,,0.1444444444444444,0.1861198738170347,0.0560747663551401,0.116591928251121,0.0957178841309823,0.1486486486486486,0.1666666666666666,0.1724137931034483,,,0.2403314917127071,0.2228571428571428,0.136986301369863,0.1405693950177935,,0.1330472103004291,0.100418410041841,0.1457627118644067,,,,0.20588235294117646,0.22072072072072071,0.06190476190476191,0.017857142857142856,0.13053892215568863,,,,0.1745152354570637,0.17195767195767195,0.09850746268656717
11,0.0714285714285714,0.1111111111111111,0.1317829457364341,0.1074380165289256,0.1409395973154362,0.1585014409221902,0.0924855491329479,0.145985401459854,0.1196172248803827,0.0201005025125628,,0.0905797101449275,0.0927152317880794,0.0657894736842105,0.1366459627329192,0.0619469026548672,0.1875,0.1832460732984293,0.0352112676056338,0.0609756097560975,,,0.2236842105263158,0.1678571428571428,0.1,0.1588235294117647,0.1138328530259366,0.1180124223602484,0.236734693877551,0.1591591591591591,,,0.1069182389937107,0.15625,0.1557788944723618,0.1462925851703407,,0.157051282051282,0.1145374449339207,0.2149837133550488,,,,0.0967741935483871,0.205,0.0423728813559322,0.0,,,,,0.2148997134670487,0.24479166666666666,0.09287925696594428
