Glomerulus 1,Glomerulus 2,Glomerulus 3
0.38370541017134097,0.5691583519066719,0.9667048563788749
0.4910117464071944,0.7580826009678668,0.8835517079521777
0.3088968793556083,1.1098607835721181,1.0368785606003108
0.3432993700176697,0.9807267994573146,1.0939766274583649
0.4067128947257292,0.7894406086171597,1.3141680156090527
0.4908523216838774,0.9766806592158431,1.038787073677125
0.5752137952836768,1.2879423109173234,1.0851283664873423
0.4474813246928937,1.0053736857469064,1.2235158615708868
0.5420363666815118,0.9781932357991373,1.1820029497305753
0.3404037491475803,0.5408067614100244,1.4043727059252673
